"","album","source","target"
"1","Birds In The Trap Sing McKnight","Travis Scott","Young Thug &amp; Travis Scott"
"2","DAMN.","Rihanna","U2"
"3","DAMN.","Rihanna","Zacari"
"4","DAMN.","U2","Zacari"
"5","Stoney","2 Chainz","Justin Bieber"
"6","Stoney","2 Chainz","Kehlani"
"7","Stoney","Justin Bieber","Kehlani"
"8","More Life","2 Chainz","Black Coffee"
"9","More Life","2 Chainz","Giggs"
"10","More Life","Black Coffee","Giggs"
"11","Vacation In Hell","A$AP Twelvyy","Bun B"
"12","Vacation In Hell","A$AP Twelvyy","Dave B"
"13","Vacation In Hell","Bun B","Dave B"
"14","TA13OO","Billie Eilish","GoldLink"
"15","TA13OO","Billie Eilish","J.I.D"
"16","TA13OO","GoldLink","J.I.D"
"17","GO:OD AM","Ab-Soul","Chief Keef"
"18","GO:OD AM","Ab-Soul","Lil B"
"19","GO:OD AM","Chief Keef","Lil B"
"20","Legends Of The Summer (EP)","Jeremih","Miguel"
"21","Legends Of The Summer (EP)","Jeremih","PnB Rock"
"22","Legends Of The Summer (EP)","Miguel","PnB Rock"
"23","ONEPOINTFIVE","G Herbo","Gunna"
"24","ONEPOINTFIVE","G Herbo","Rico Nasty"
"25","ONEPOINTFIVE","Gunna","Rico Nasty"
"26","Planet","Big Scoob","Darrein Safron"
"27","Planet","Big Scoob","Joey Cool"
"28","Planet","Darrein Safron","Joey Cool"
"29","Kamikaze","Eminem","Eminem &amp; Jessie Reyez"
"30","Kamikaze","Eminem","Paul Rosenberg"
"31","Kamikaze","Eminem &amp; Jessie Reyez","Paul Rosenberg"
"32","Revenge","Ski Mask The Slump God &amp; XXXTENTACION","XXXTENTACION"
"33","Heart Break Kodak","Lil Wayne","Tory Lanez"
"34","Issa Album","21 Savage","CuBeatz"
"35","Issa Album","21 Savage","DJ Mustard"
"36","Issa Album","CuBeatz","DJ Mustard"
"37","223","French Montana","Lil Yachty"
"38","223","French Montana","LunchMoney Lewis"
"39","223","Lil Yachty","LunchMoney Lewis"
"40","Swimming","Alexander Spit","Cardo"
"41","Swimming","Alexander Spit","Carter Lang"
"42","Swimming","Cardo","Carter Lang"
"43","Beach House 3","Ty Dolla $ign","Ty Dolla $ign &amp; Lauren Jauregui"
"44","Role Model","Kash Doll","Key Glock"
"45","Role Model","Kash Doll","Moma Gabbana"
"46","Role Model","Key Glock","Moma Gabbana"
"47","Lil Pump","2 Chainz","Chief Keef"
"48","Lil Pump","2 Chainz","Gucci Mane"
"49","Lil Pump","Chief Keef","Gucci Mane"
"50","Oxnard","BJ the Chicago Kid","Cocoa Sarai"
"51","Oxnard","BJ the Chicago Kid","Dr.\xa0Dre"
"52","Oxnard","Cocoa Sarai","Dr.\xa0Dre"
"53","Lil Boat 2","2 Chainz","Jban$2Turnt"
"54","Lil Boat 2","2 Chainz","K$upreme"
"55","Lil Boat 2","Jban$2Turnt","K$upreme"
"56","Luca Brasi 3","Beatmonsters","DJ Chose"
"57","Luca Brasi 3","Beatmonsters","Fresh Ayr"
"58","Luca Brasi 3","DJ Chose","Fresh Ayr"
"59","Karma 2","BlocBoy JB","Border Bucc"
"60","Karma 2","BlocBoy JB","D.JONES"
"61","Karma 2","Border Bucc","D.JONES"
"62","Pressure","2 Chainz","J. Cole"
"63","Pressure","2 Chainz","Kendrick Lamar"
"64","Pressure","J. Cole","Kendrick Lamar"
"65","The Beautiful & Damned","G-Eazy","G-Eazy &amp; Halsey"
"66","The Beautiful & Damned","G-Eazy","G-Eazy"
"67","The Beautiful & Damned","G-Eazy &amp; Halsey","G-Eazy"
"68","Dime Trap","Anderson .Paak","Dave Chappelle"
"69","Dime Trap","Anderson .Paak","Jeezy"
"70","Dime Trap","Dave Chappelle","Jeezy"
"71","Invasion Of Privacy","Cardi B","Cardi B &amp; YG"
"72","Invasion Of Privacy","Cardi B","Cardi B"
"73","Invasion Of Privacy","Cardi B &amp; YG","Cardi B"
"74","beerbongs & bentleys","21 Savage","G-Eazy"
"75","beerbongs & bentleys","21 Savage","Nicki Minaj"
"76","beerbongs & bentleys","G-Eazy","Nicki Minaj"
"77","Milky Way","Bas","Bas &amp; A$AP Ferg"
"78","Milky Way","Bas","Bas &amp; J. Cole"
"79","Milky Way","Bas &amp; A$AP Ferg","Bas &amp; J. Cole"
"80","Zoo","Mahalia","Rick Ross"
"81","Zoo","Mahalia","Snoop Dogg"
"82","Zoo","Rick Ross","Snoop Dogg"
"83","Victory Lap","Belly","Buddy"
"84","Victory Lap","Belly","CeeLo Green"
"85","Victory Lap","Buddy","CeeLo Green"
"86","Light Of Mine","2 Chainz","Alessia Cara"
"87","Light Of Mine","2 Chainz","Avery Wilson"
"88","Light Of Mine","Alessia Cara","Avery Wilson"
"89","Bobby Tarantino II","Logic","Logic &amp; Marshmello"
"90","Project Baby Two","Jackboy","John Wicks"
"91","Project Baby Two","Jackboy","Offset"
"92","Project Baby Two","John Wicks","Offset"
"93","Gangland Landlord","Blac Youngsta","A Boogie Wit Da Hoodie"
"94","Gangland Landlord","Blac Youngsta","Caine"
"95","Gangland Landlord","A Boogie Wit Da Hoodie","Caine"
"96","Revival","Alice and the Glass Lake","Alicia Keys"
"97","Revival","Alice and the Glass Lake","Beyoncé"
"98","Revival","Alicia Keys","Beyoncé"
"99","Tha Carter V","Ashanti","Kendrick Lamar"
"100","Tha Carter V","Ashanti","Mack Maine"
"101","Tha Carter V","Kendrick Lamar","Mack Maine"
"102","Beware The Book Of Eli","Danny Towers","Rich the Kid"
"103","Beware The Book Of Eli","Danny Towers","Ronny J"
"104","Beware The Book Of Eli","Rich the Kid","Ronny J"
"105","4 Your Eyez Only","Blvk","BLVK Cole"
"106","4 Your Eyez Only","Blvk","Elite"
"107","4 Your Eyez Only","Blvk","Boi-1da"
"108","4 Your Eyez Only","BLVK Cole","Elite"
"109","4 Your Eyez Only","BLVK Cole","Boi-1da"
"110","4 Your Eyez Only","Elite","Boi-1da"
"111","Luv Is Rage 2","Oh Wonder","Pharrell Williams"
"112","Luv Is Rage 2","Oh Wonder","The Weeknd"
"113","Luv Is Rage 2","Pharrell Williams","The Weeknd"
"114","Culture II","Migos","Migos"
"115","Bet On Me","Gunna","Lil Baby"
"116","Bet On Me","Gunna","Young Thug"
"117","Bet On Me","Lil Baby","Young Thug"
"118","Everybody","Alessia Cara","Ansel Elgort"
"119","Everybody","Alessia Cara","Big Lenbo"
"120","Everybody","Ansel Elgort","Big Lenbo"
"121","4 Respect (EP)","Kevin Gates","Quando Rondo"
"122","RESET","Future","J. Cole"
"123","RESET","Future","Jeremih"
"124","RESET","J. Cole","Jeremih"
"125","P2","Bino Rideaux","Lloyd Banks"
"126","P2","Bino Rideaux","Marsha Ambrosius"
"127","P2","Lloyd Banks","Marsha Ambrosius"
"128","2014 Forest Hills Drive","J. Cole","!llmind"
"129","2014 Forest Hills Drive","J. Cole","Phonix Beats"
"130","2014 Forest Hills Drive","!llmind","Phonix Beats"
"131","The Last Rocket","Dayytona Fox","Quavo"
"132","Signed To The Streets 3","A Boogie Wit Da Hoodie","Future"
"133","Signed To The Streets 3","A Boogie Wit Da Hoodie","Gunna"
"134","Signed To The Streets 3","Future","Gunna"
"135","LoVE me NOw?","Tory Lanez","Tory Lanez &amp; Rich The Kid"
"136","PRhyme 2","2 Chainz","Big K.R.I.T."
"137","PRhyme 2","2 Chainz","Brady Watt"
"138","PRhyme 2","Big K.R.I.T.","Brady Watt"
"139","ASTROWORLD","21 Savage","Big Hawk"
"140","ASTROWORLD","21 Savage","Don Toliver"
"141","ASTROWORLD","Big Hawk","Don Toliver"
"142","Fully Loaded","3 Glizzy","Gunna"
"143","Fully Loaded","3 Glizzy","Lil Durk"
"144","Fully Loaded","Gunna","Lil Durk"
"145","Still My Moment","Bryan Hamilton","Chance the Rapper"
"146","Still My Moment","Bryan Hamilton","Lil Pump"
"147","Still My Moment","Chance the Rapper","Lil Pump"
"148","Scorpion","Drake","Drake &amp; Michael Jackson"
"149","Life's A Trip","Diplo","Trippie Redd"
"150","ye","070 Shake","Ant Clemons"
"151","ye","070 Shake","Charlie Wilson"
"152","ye","Ant Clemons","Charlie Wilson"
"153","Dex Meets Dexter","A$AP Rocky","Diplo"
"154","Dex Meets Dexter","A$AP Rocky","Drax Project"
"155","Dex Meets Dexter","Diplo","Drax Project"
"156","Take Care","André 3000","Birdman"
"157","Take Care","André 3000","Kendrick Lamar"
"158","Take Care","Birdman","Kendrick Lamar"
"159","Nasir","070 Shake","Kanye West"
"160","Nasir","070 Shake","Puff Daddy"
"161","Nasir","Kanye West","Puff Daddy"
"162","A Love Letter To You 3","Baby Goth","Elliott Trent"
"163","A Love Letter To You 3","Baby Goth","Emani 22"
"164","A Love Letter To You 3","Elliott Trent","Emani 22"
"165","YSIV","Big Lenbo","Cappadonna"
"166","YSIV","Big Lenbo","Ghostface Killah"
"167","YSIV","Cappadonna","Ghostface Killah"
"168","Memories Don't Die","50 Cent","Davo"
"169","Memories Don't Die","50 Cent","Fabolous"
"170","Memories Don't Die","Davo","Fabolous"
"171","Just Cause Y'all Waited","Gunna","Lil Baby"
"172","Just Cause Y'all Waited","Gunna","PARTYNEXTDOOR"
"173","Just Cause Y'all Waited","Lil Baby","PARTYNEXTDOOR"
"174","Culture","2 Chainz","DJ Khaled"
"175","Culture","2 Chainz","Gucci Mane"
"176","Culture","DJ Khaled","Gucci Mane"
"177","Die Lit","Playboi Carti","Playboi Carti &amp; Nicki Minaj"
"178","Redemption","Future","J. Cole"
"179","Redemption","Future","Jeremih"
"180","Redemption","J. Cole","Jeremih"
"181","GEMINI","ABIR","Dan Caplen"
"182","GEMINI","ABIR","Dave B"
"183","GEMINI","Dan Caplen","Dave B"
"184","Reckless","Gunna","Lil Uzi Vert"
"185","Reckless","Gunna","Quavo"
"186","Reckless","Lil Uzi Vert","Quavo"
"187","California (EP)","Desiigner","DRAM"
"188","California (EP)","Desiigner","GoldLink"
"189","California (EP)","DRAM","GoldLink"
"190","Rolling Papers 2","Bone Thugs-N-Harmony","Chevy Woods"
"191","Rolling Papers 2","Bone Thugs-N-Harmony","Curren$y"
"192","Rolling Papers 2","Chevy Woods","Curren$y"
"193","4Respect 4Freedom 4Loyalty 4WhatImportant","Kevin Gates","Quando Rondo"
"194","4Respect 4Freedom 4Loyalty 4WhatImportant","Kevin Gates","Young Thug"
"195","4Respect 4Freedom 4Loyalty 4WhatImportant","Quando Rondo","Young Thug"
"196","Quavo Huncho","21 Savage","Cardi B"
"197","Quavo Huncho","21 Savage","Davido"
"198","Quavo Huncho","Cardi B","Davido"
"199","Best Day Ever","Phonte","Wiz Khalifa"
"200","Views","\u200bdvsn","Future"
"201","Views","\u200bdvsn","Kyla"
"202","Views","Future","Kyla"
"203","BooPac","Anthony Hamilton","B Will"
"204","BooPac","Anthony Hamilton","Lee Banks"
"205","BooPac","B Will","Lee Banks"
"206","Ray Ray From Summerhill","Dreezy","Meek Mill"
"207","Ray Ray From Summerhill","Dreezy","Offset"
"208","Ray Ray From Summerhill","Meek Mill","Offset"
"209","The World Is Yours","Chris Brown","Future"
"210","The World Is Yours","Chris Brown","Jay Critch"
"211","The World Is Yours","Future","Jay Critch"
"212","Activated","Chris Brown","Jeezy"
"213","Activated","Chris Brown","Lil Durk"
"214","Activated","Jeezy","Lil Durk"
"215","Mr. Davis","Gucci Mane","Gucci Mane &amp; Nicki Minaj"
"216","Curtain Call: The Hits","D12","Eminem"
"217","Curtain Call: The Hits","D12","JAY-Z"
"218","Curtain Call: The Hits","Eminem","JAY-Z"
"219","Kolorblind","A Boogie Wit Da Hoodie","DeJ Loaf"
"220","Kolorblind","A Boogie Wit Da Hoodie","Future"
"221","Kolorblind","DeJ Loaf","Future"
"222","Until Death Call My Name","Birdman","Future"
"223","Not All Heroes Wear Capes","21 Savage","Drake"
"224","Not All Heroes Wear Capes","21 Savage","Gucci Mane"
"225","Not All Heroes Wear Capes","Drake","Gucci Mane"
"226","Stay Dangerous","2 Chainz","A$AP Rocky"
"227","Stay Dangerous","2 Chainz","Big Sean"
"228","Stay Dangerous","A$AP Rocky","Big Sean"
"229","Drip Season 3","Hoodrich Pablo Juan","Lil Baby"
"230","Drip Season 3","Hoodrich Pablo Juan","Lil Durk"
"231","Drip Season 3","Lil Baby","Lil Durk"
"232","The Bigger Artist","21 Savage","Chris Brown"
"233","The Bigger Artist","21 Savage","Don Q"
"234","The Bigger Artist","Chris Brown","Don Q"
"235","2 Heartless","BlocBoy JB","Lil Baby"
"236","2 Heartless","BlocBoy JB","Quavo"
"237","2 Heartless","Lil Baby","Quavo"
"238","DAYTONA","070 Shake","Kanye West"
"239","DAYTONA","070 Shake","Rick Ross"
"240","DAYTONA","Kanye West","Rick Ross"
"241","Queen","Nicki Minaj","Nicki Minaj &amp; Labrinth"
