"","album","source","target"
"240","Packs","Black Boe","Chevy Woods"
"241","Packs","Black Boe","French Montana"
"242","Packs","Chevy Woods","French Montana"
"243","Humble Beast","Bump J","Jeremih"
"244","Humble Beast","Bump J","Lil Bibby"
"245","Humble Beast","Jeremih","Lil Bibby"
"246","Views","\u200bdvsn","Future"
"247","Views","\u200bdvsn","Kyla"
"248","Views","Future","Kyla"
"249","Trial By Fire","Bones Owens","Joshua Hedley"
"250","Trial By Fire","Bones Owens","Juicy J"
"251","Trial By Fire","Joshua Hedley","Juicy J"
"252","bloom","Machine Gun Kelly","Machine Gun Kelly &amp; Camila Cabello"
"253","The Saga Continues","Chris Rivers","Hue Hef"
"254","The Saga Continues","Chris Rivers","Kaba Hiawatha Kamene"
"255","The Saga Continues","Hue Hef","Kaba Hiawatha Kamene"
"256","A Love Letter To You 2","Bali Baby","Chris King"
"257","A Love Letter To You 2","Bali Baby","Cydnee with a C"
"258","A Love Letter To You 2","Chris King","Cydnee with a C"
"259","Ransom 2","Mike WiLL Made-It","Young Thug"
"260","Good For You","Charlie Wilson","Kehlani"
"261","Good For You","Charlie Wilson","Nelly"
"262","Good For You","Kehlani","Nelly"
"263","Mr. Davis","Gucci Mane","Gucci Mane &amp; Nicki Minaj"
"264","Curtain Call: The Hits","D12","Eminem"
"265","Curtain Call: The Hits","D12","JAY-Z"
"266","Curtain Call: The Hits","Eminem","JAY-Z"
"267","Teenage Emotions","CL","Diplo"
"268","Teenage Emotions","CL","Evander Griiim"
"269","Teenage Emotions","Diplo","Evander Griiim"
"270","All Things Work Together","1K Phew","Aha Gazelle"
"271","All Things Work Together","1K Phew","Jawan Harris"
"272","All Things Work Together","Aha Gazelle","Jawan Harris"
"273","The Bigger Artist","21 Savage","Chris Brown"
"274","The Bigger Artist","21 Savage","Don Q"
"275","The Bigger Artist","Chris Brown","Don Q"
"276","King Of Dixie","Jelly Roll","Robert James"
"277","No Shame","Eric Tucker","Joey Tee"
"278","No Shame","Eric Tucker","Michael Speaks"
"279","No Shame","Joey Tee","Michael Speaks"
"280","Painting Pictures","A Boogie Wit Da Hoodie","Bun B"
"281","Painting Pictures","A Boogie Wit Da Hoodie","Future"
"282","Painting Pictures","Bun B","Future"
