"","source","target","weight","type"
"1108","CZARFACE","Rast Rfc","1","undirected"
"1109","Ty Dolla $ign","James Fauntleroy","1","undirected"
"1110","Niña Dioz","Kosha Dillz","1","undirected"
"1111","Trae Tha Truth","Audio Push","1","undirected"
"1112","Trae Tha Truth","J-Dawg","1","undirected"
"1113","Mozzy","Leezy Lyfe","1","undirected"
"1114","DJ Khaled","Kodak Black","1","undirected"
"1115","Wale","Tyga","1","undirected"
"1116","Ty Dolla $ign","Brandy","1","undirected"
"1117","Rara","Quavo","1","undirected"
"1118","Watsky","Dumbfoundead","1","undirected"
"1119","Eshon Burgundy","Parade","1","undirected"
"1120","Young Thug","T.I.","2","undirected"
"1121","Juvenile","Dame D.O.L.L.A","1","undirected"
"1122","Lil Keke","Pimp C","2","undirected"
"1123","Lin-Manuel Miranda","Dave East","1","undirected"
"1124","Translee","London Jae","1","undirected"
"1125","Future","A$AP Ferg","1","undirected"
"1126","MO3","Hurricane Chris","1","undirected"
"1127","Smoke Dza","Pete Rock","13","undirected"
"1128","Sad Boy","AD","1","undirected"
"1129","B.o.B","Ink","1","undirected"
"1130","Ty Dolla $ign","The Game","4","undirected"
"1131","DJ Luian","Wisin","1","undirected"
"1132","Anthony Ramos","Christopher Jackson","2","undirected"
"1133","The Game","will.i.am","6","undirected"
"1134","Big Noyd","Raekwon","1","undirected"
"1135","Rara","Tokyo Jetz","1","undirected"
"1136","Common","Marsha Ambrosius","1","undirected"
"1137","Sione Toki","Junior Maile","1","undirected"
"1138","Masta Killa","Banks & Steelz","1","undirected"
"1139","DJ Luian","Pusho","1","undirected"
"1140","De La Soul","Roc Marciano","1","undirected"
"1141","Skepta","Jme","1","undirected"
"1142","Nicki Minaj","Chris Brown","1","undirected"
"1143","Charlie Wilson","T.I.","1","undirected"
"1144","Jazze Pha","E-40","2","undirected"
"1145","Wiz Khalifa","Lil' Kim","1","undirected"
"1146","J. Cole","Bas","2","undirected"
"1147","Webbie","Lil Lonnie","1","undirected"
"1148","Chinx","Stack Bundles","1","undirected"
"1149","UGK","A$AP Rocky","1","undirected"
"1150","Smoke Dza","Styles P","1","undirected"
"1151","The Game","AD","3","undirected"
"1152","Diddy","Lil' Kim","1","undirected"
"1153","John Legend","The Roots","1","undirected"
"1154","Dumbfoundead","Wax","1","undirected"
"1155","Ty Dolla $ign","AD","2","undirected"
"1156","E-40","Snoop Dogg","1","undirected"
"1157","Mama Ferg","A$AP Ferg","1","undirected"
"1158","Cardi B","Lisa Evers","1","undirected"
"1159","Arcangel","Genio","2","undirected"
"1160","Rick Ross","Yo Gotti","1","undirected"
"1161","The Lonely Island","Seal","1","undirected"
"1162","Snow Tha Product","Riz MC","1","undirected"
"1163","Kool Moe Dee","Macklemore & Ryan Lewis","1","undirected"
"1164","Nicki Minaj","Rick Ross","1","undirected"
"1165","Busta Rhymes","Nate Ruess","1","undirected"
"1166","DJ Mustard","Meek Mill","1","undirected"
"1167","Stresmatic","Cousin Fik","1","undirected"
"1168","Marley Blu","Syke 800","1","undirected"
"1169","Banks & Steelz","Florence Welch","1","undirected"
"1170","De La Soul","2 Chainz","1","undirected"
"1171","Mac Miller","DJ Drama","1","undirected"
"1172","French Montana","Kodak Black","1","undirected"
"1173","Chris Brown","G-Eazy","1","undirected"
"1174","Diddy","Wiz Khalifa","1","undirected"
"1175","The Game","ShaSha","2","undirected"
"1176","Lance Skiiiwalker","ScHoolboy Q","1","undirected"
"1177","Bizzle","Eric C","1","undirected"
"1178","Okieriete Onaodowan","Original Broadway Cast of Hamilton","7","undirected"
"1179","DJ Snake","Lil Jon","1","undirected"
"1180","Miguel","A$AP Rocky","1","undirected"
"1181","Nas","Olu Dara","1","undirected"
"1182","Riff Raff","King Chip","1","undirected"
"1183","Joe Moses","TeeCee4800","1","undirected"
"1184","Young Butta","Young Thug","1","undirected"
"1185","Chief Keef","Travis Scott","1","undirected"
"1186","Apathy","Pumpkinhead","1","undirected"
"1187","Crystal Caines","Skrillex","1","undirected"
"1188","Rafael Casal","Dumbfoundead","1","undirected"
"1189","S Dot Braddy","$uicideBoy$","1","undirected"
"1190","Mozzy","Noni Blanco","1","undirected"
"1191","Trae Pound","Bloody Jay","1","undirected"
"1192","DJ Khaled","2 Chainz","1","undirected"
"1193","Isaiah Rashad","SZA","1","undirected"
"1194","Mick Jenkins","J-Stock","1","undirected"
"1195","Trae Tha Truth","Ink","2","undirected"
"1196","Styles P","BJ The Chicago Kid","1","undirected"
"1197","Problem","Shy Carter","1","undirected"
"1198","The Game","Diddy","2","undirected"
"1199","Ice Cube","will.i.am","1","undirected"
"1200","Casino","Future","1","undirected"
"1201","Arcangel","Pusho","1","undirected"
"1202","Fetty Wap","Lil Dicky","1","undirected"
"1203","Flatbush Zombies","Anthony Flammia","1","undirected"
"1204","Cosculluela","Farruko","1","undirected"
"1205","Yowda","Philthy Rich","1","undirected"
"1206","Problem","YG","2","undirected"
"1207","Berner","Wiz Khalifa","5","undirected"
"1208","David Banner","Pimp C","1","undirected"
"1209","Playboi Carti","A$AP Mob","2","undirected"
"1210","Problem","Bad Lucc","1","undirected"
"1211","Dave East","Pete Rock","1","undirected"
"1212","Nicki Minaj","Yo Gotti","1","undirected"
"1213","Jasmine Cephas-Jones","Leslie Odom Jr.","2","undirected"
"1214","Grandmaster Melle Mel","Macklemore & Ryan Lewis","1","undirected"
"1215","Tory Lanez","Fabolous","1","undirected"
"1216","August Alsina","Rick Ross","1","undirected"
"1217","Ty Dolla $ign","Chris Brown","1","undirected"
"1218","KSI","Jme","1","undirected"
"1219","Gracy","Beleaf","1","undirected"
"1220","Boosie Badazz","VS","2","undirected"
"1221","The Game","Fergie","2","undirected"
"1222","Atmosphere","The Grouch","1","undirected"
"1223","Kevin Gates","Juicy J","1","undirected"
"1224","Yung Gleesh","A$AP Rocky","1","undirected"
"1225","Future","Curren$y","1","undirected"
"1226","A$AP Mob","Tatiana Paulino","1","undirected"
"1227","Tech N9ne","JL B.Hood","1","undirected"
"1228","Sad Boy","Bricc Baby","1","undirected"
"1229","The Game","Shasha","2","undirected"
"1230","Kacy Hill","Travis Scott","1","undirected"
"1231","Rick Ross","James Fauntleroy","1","undirected"
"1232","Rapsody","Kendrick Lamar","1","undirected"
"1233","T.I.","DJ Drama","1","undirected"
"1234","Dave East","Freddie Gibbs","1","undirected"
"1235","DJ Premier","KRS-One","1","undirected"
"1236","DJ Mustard","RJ","3","undirected"
"1237","John Givez","JGivens","1","undirected"
"1238","Future","Lil Durk","1","undirected"
"1239","Boosie Badazz","Cuttyboy G Dinero","1","undirected"
"1240","Apathy","Oh No","1","undirected"
"1241","Dame D.O.L.L.A","Danny from Sobrante","2","undirected"
"1242","August Alsina","Jeremih","1","undirected"
"1243","A$AP Rocky","Offset","1","undirected"
"1244","Mike Posner","E-40","1","undirected"
"1245","M.I.A.","ZAYN","1","undirected"
"1246","Madrox","Blaze Ya Dead Homie","1","undirected"
"1247","Skepta","Novelist","1","undirected"
"1248","Don Trip","Singa B.","2","undirected"
"1249","2 Chainz","Gucci Mane","1","undirected"
"1250","Guordan Banks","Meek Mill","1","undirected"
"1251","$uicideBoy$","Germ","1","undirected"
"1252","Tokyo Jetz","London Jae","1","undirected"
"1253","Justin Hawkins","De La Soul","1","undirected"
"1254","LightShow","A$Ap Ant","1","undirected"
"1255","AD","AV","1","undirected"
"1256","Ab-Soul","Earl Sweatshirt","1","undirected"
"1257","A$AP Mob","Offset","1","undirected"
"1258","Scheme","AD","1","undirected"
"1259","Skeme","RJ","1","undirected"
"1260","Casino","Diddy","1","undirected"
"1261","Bubba Sparxxx","I4NI","1","undirected"
"1262","Tech N9ne Collabos","Ryan Bradley","1","undirected"
"1263","De La Soul","Snoop Dogg","1","undirected"
"1264","Bizzle","GS","1","undirected"
"1265","Bynoe","Chinx","1","undirected"
"1266","Rich Homie Quan","Tyga","1","undirected"
"1267","Skonie","Elzhi","1","undirected"
"1268","Carlene Crawford","Ruslan","1","undirected"
"1269","Boondox","Lex the Hex Master","1","undirected"
"1270","Dizzy Wright","Skate Maloley","1","undirected"
"1271","Twiztid","Hopsin","1","undirected"
"1272","Lunar C","Tiggs Da Author","1","undirected"
"1273","Fabolous","Busta Rhymes","1","undirected"
"1274","Freeway","Philthy Rich","1","undirected"
"1275","Styles P","Lil' Kim","1","undirected"
"1276","D-Day","Tamoya Bell","1","undirected"
"1277","Flynt Flossy of Turquoise Jeep","Kosha Dillz","1","undirected"
"1278","Rich Homie Quan","Lil Blood","1","undirected"
"1279","Txx Will","Tech N9ne","1","undirected"
"1280","Diddy","Brucie B","1","undirected"
"1281","Renee Elise Goldsberry","Leslie Odom Jr.","2","undirected"
"1282","Tech N9ne Collabos","¡MAYDAY!","1","undirected"
"1283","Future","YG","1","undirected"
"1284","Derek Minor","BJ The Chicago Kid","1","undirected"
"1285","E-40","AD","1","undirected"
"1286","Grieves","Wax","1","undirected"
"1287","Joell Ortiz","Skyzoo","1","undirected"
"1288","Chris Rivers","Lex the Hex Master","1","undirected"
"1289","DJ Luian","Mozart La Para","1","undirected"
"1290","Casino","Pusha T","1","undirected"
"1291","Atmosphere","Berner","1","undirected"
"1292","Sad Boy","YG","2","undirected"
"1293","Mos Def","Yams","1","undirected"
"1294","Juicy J","A$AP Rocky","2","undirected"
"1295","TeeCee4800","K CAMP","1","undirected"
"1296","Lunar C","KSI","1","undirected"
"1297","Vince Staples","Ludwig Goransson","1","undirected"
"1298","Wiz Khalifa","A$AP Mob","1","undirected"
"1299","Ezale","G-Eazy","1","undirected"
"1300","The Lacs","I4NI","2","undirected"
"1301","David Guetta","Kaz James","1","undirected"
"1302","JT","King Mez","2","undirected"
"1303","Aha Gazelle","Social Club Misfits","1","undirected"
"1304","Chrizz Michaels","Mista Cain","2","undirected"
"1305","Atmosphere","Kim Manning","1","undirected"
"1306","Big Sean","Logic","1","undirected"
"1307","DJ Mustard","K CAMP","1","undirected"
"1308","Okieriete Onaodowan","Phillipa Soo","1","undirected"
"1309","Mistah F.A.B.","Lupe Fiasco","1","undirected"
"1310","Westside Gunn","Skyzoo","1","undirected"
"1311","Bubba Sparxxx","J Rosevelt","1","undirected"
"1312","PJ","Common","2","undirected"
"1313","Danny Brown","B-Real","1","undirected"
"1314","Paul Wall","Mistah F.A.B.","1","undirected"
"1315","Nicky Jam","Cosculluela","2","undirected"
"1316","Lin-Manuel Miranda","Thayne Jasperson","1","undirected"
"1317","Method Man","Havoc","1","undirected"
"1318","Starrah","G-Eazy","1","undirected"
"1319","Macklemore & Ryan Lewis","Anderson .Paak","1","undirected"
"1320","Montana of 300","Jalyn Sanders","3","undirected"
"1321","Dj Swamp","Blaze Ya Dead Homie","3","undirected"
"1322","Ty Dolla $ign","Joe Moses","3","undirected"
"1323","E-40","Eric Bellinger","1","undirected"
"1324","The Lacs","Hard Target","14","undirected"
"1325","Rick Ross","T.I.","1","undirected"
"1326","ShaSha","Q-Tip","1","undirected"
"1327","K-Young","Royce Da 5'9""","1","undirected"
"1328","Young Thug","Jeezy","1","undirected"
"1329","Mouton","Kuzzn Bank","1","undirected"
"1330","8Ball","Pimp C","1","undirected"
"1331","Derek Minor","Chrisette Michele","1","undirected"
"1332","Kappa Gamma","Apathy","1","undirected"
"1333","The Lacs","Danny Boone","1","undirected"
"1334","Flo Rida","Lookas","2","undirected"
"1335","Jay 305","YG","1","undirected"
"1336","Lil Keke","Slim Thug","1","undirected"
"1337","Mistah F.A.B.","Iamsu!","2","undirected"
"1338","Freeway","Paul Wall","1","undirected"
"1339","Chinaka Hodge","Dumbfoundead","1","undirected"
"1340","8Ball","MJG","1","undirected"
"1341","Kobe Honeycutt","Kendrick Lamar","1","undirected"
"1342","Rittz","E-40","1","undirected"
"1343","August Alsina","Trey Songz","1","undirected"
"1344","Mitch","YG","1","undirected"
"1345","I4NI","Hard Target","1","undirected"
"1346","marcus wells","Que Tha Music","1","undirected"
"1347","Ralo","Lil Durk","1","undirected"
"1348","Bilal","Syd","1","undirected"
"1349","Don Chief","Que Tha Music","1","undirected"
"1350","will.i.am","Dr. Dre","2","undirected"
"1351","The Game","Candace Boyd","1","undirected"
"1352","Ty Dolla $ign","Travis Scott","1","undirected"
"1353","Vinnie Paz","Agallah","1","undirected"
"1354","Wiz Khalifa","Peewee Longway","1","undirected"
"1355","Apollo Brown","Skyzoo","15","undirected"
"1356","Junior Maile","Jay Warren","1","undirected"
"1357","Trae Tha Truth","D. Lylez","1","undirected"
"1358","Christopher Jackson","Daveed Diggs","4","undirected"
"1359","Travis Scott","Big Sean","1","undirected"
"1360","Machine Gun Kelly","Kid Rock","1","undirected"
"1361","Krizz Kaliko","Prozak","1","undirected"
"1362","Danny from Sobrante","Brookfield Duece","1","undirected"
"1363","Buddy","DJ Quik","1","undirected"
"1364","Corner Boy P","Fiend","1","undirected"
"1365","Demoz","Agallah","1","undirected"
"1366","Lil Durk","Young Thug","3","undirected"
"1367","Yakki","Skeme","1","undirected"
"1368","Casino","Ludacris","1","undirected"
"1369","Lil Wayne","DJ Khaled","1","undirected"
"1370","Paul Wall","Philthy Rich","1","undirected"
"1371","Pharrell Williams","Future","1","undirected"
"1372","Nutso","Spit Gemz","1","undirected"
"1373","Anthony Ramos","Jon Rua","1","undirected"
"1374","Z-Ro","Paul Wall","1","undirected"
"1375","Mistah F.A.B.","Keyshia Cole","1","undirected"
"1376","Method Man","Masta Killa","1","undirected"
"1377","Devin The Dude","Pimp C","1","undirected"
"1378","A$AP Rocky","BJ The Chicago Kid","1","undirected"
"1379","Sheena","Sevin","1","undirected"
"1380","Robin Thicke","Verdine White","1","undirected"
"1381","Joe Moses","RJ","2","undirected"
"1382","Eric C","Sevin","1","undirected"
"1383","Jazze Pha","B-Legit","1","undirected"
"1384","The Roots","Ingrid Michaelson","1","undirected"
"1385","Square Bizzy","Tic","1","undirected"
"1386","Young Dolph","T.I.","1","undirected"
"1387","Rico Love","Wiz Khalifa","1","undirected"
"1388","Young Scooter","Offset","1","undirected"
"1389","The Alchemist","Cormega","1","undirected"
"1390","Boosie Badazz","Tony Michael","1","undirected"
"1391","Krizz Kaliko","Big Scoob","1","undirected"
"1392","Trae Pound","YFN Lucci","1","undirected"
"1393","Project Pat","Wiz Khalifa","2","undirected"
"1394","NymLo","Smoke Dza","1","undirected"
"1395","Paul Wall","B-Real","1","undirected"
"1396","Kanye West","Gucci Mane","1","undirected"
"1397","Bicho Ramirez","Cartel De Santa","1","undirected"
"1398","French Montana","Diddy","3","undirected"
"1399","Royce Da 5'9""","Pusha T","1","undirected"
"1400","Bizzle","Dee-1","1","undirected"
"1401","Lil Yachty","Offset","1","undirected"
"1402","Brandy","Kendrick Lamar","1","undirected"
"1403","Drake","Pimp C","1","undirected"
"1404","Alexio","Nengo Flow","1","undirected"
"1405","K'NAAN","Residente","1","undirected"
"1406","E-40","Lecrae","1","undirected"
"1407","The Game","King Mez","2","undirected"
"1408","Lenny Cooper","Young Gunner","3","undirected"
"1409","Phillipa Soo","Christopher Jackson","2","undirected"
"1410","Remo the Hitmaker","Chinx","1","undirected"
"1411","Wiz Khalifa","Tyler, The Creator","1","undirected"
"1412","Rick Ross","Mariah Carey","1","undirected"
"1413","DJ Premier","Macklemore & Ryan Lewis","1","undirected"
"1414","Watsky","Chaos Chaos","1","undirected"
"1415","AD","RJ","2","undirected"
"1416","Young Boss","Big Scoob","1","undirected"
"1417","Michael Bolton","The Lonely Island","1","undirected"
"1418","Sonyae","Anderson .Paak","2","undirected"
"1419","Violent J","Twiztid","1","undirected"
"1420","Bynoe","Stack Bundles","1","undirected"
"1421","Choose Up Cheese","Cousin Fik","1","undirected"
"1422","PJ","Marsha Ambrosius","1","undirected"
"1423","Lil Dicky","Brendon Urie","1","undirected"
"1424","Pharrell Williams","Ludacris","1","undirected"
"1425","Slim Thug","Mistah F.A.B.","1","undirected"
"1426","Mozzy","Iamsu!","2","undirected"
"1427","Trev Case","Big K.R.I.T.","1","undirected"
"1428","Demun Jones","J Rosevelt","1","undirected"
"1429","The Homegirl","YG","1","undirected"
"1430","Kanye West","ScHoolboy Q","1","undirected"
"1431","DJ Khaled","Gucci Mane","1","undirected"
"1432","Twiztid","Lex the Hex Master","2","undirected"
"1433","Mitch E-Slick","Scheme","1","undirected"
"1434","Rick Ross","Smoke Dza","1","undirected"
"1435","Mitch E-Slick","Jay 305","2","undirected"
"1436","Boosie Badazz","Lil Durk","1","undirected"
"1437","Demun Jones","Lenny Cooper","1","undirected"
"1438","Cutthroat Season","Young Drummer Boy","2","undirected"
"1439","Omarion","Kid Ink","1","undirected"
"1440","Macklemore & Ryan Lewis","YG","1","undirected"
"1441","Skepta","ASAP Nast","1","undirected"
"1442","Original Broadway Cast of Hamilton","Ephraim Sykes","1","undirected"
"1443","Playboi Carti","Lil Uzi Vert","1","undirected"
"1444","Translee","B.o.B","1","undirected"
"1445","Big Sean","A$AP Ferg","1","undirected"
"1446","Patty Crash","Skyzoo","1","undirected"
"1447","Maejor","Berner","1","undirected"
"1448","JL B.Hood","Big Scoob","1","undirected"
"1449","Lil Uzi Vert","A$AP Ferg","1","undirected"
"1450","Mistah F.A.B.","Silke","1","undirected"
"1451","Z-Ro","Slim Thug","2","undirected"
"1452","WatchTheDuck","J-Dawg","1","undirected"
"1453","Mac Miller","Pete Rock","1","undirected"
"1454","Arcangel","Jory","1","undirected"
"1455","Watsky","Chinaka Hodge","1","undirected"
"1456","Anthony Ramos","Renee Elise Goldsberry","1","undirected"
"1457","Young Scooter","Philthy Rich","1","undirected"
"1458","DJ Luian","Farruko","2","undirected"
"1459","The Lacs","Ziggy Pockets","1","undirected"
"1460","De La Soul","David Byrne","1","undirected"
"1461","Millonario","Cartel De Santa","1","undirected"
"1462","Dame D.O.L.L.A","Dupre'","1","undirected"
"1463","Big Noyd","Mobb Deep","3","undirected"
"1464","Big Scoob","B-Legit","1","undirected"
"1465","J.R. Donato","Wiz Khalifa","1","undirected"
"1466","Brotha Lynch Hung","Tyler Lyon","1","undirected"
"1467","Dave East","Jazzy Amra","1","undirected"
"1468","Rick Ross","ScHoolboy Q","1","undirected"
"1469","ScHoolboy Q","Currensy Spitta","1","undirected"
"1470","Njomza","Mac Miller","2","undirected"
"1471","A$Ap Ant","A$AP Ferg","1","undirected"
"1472","Bryson Tiller","Future","1","undirected"
"1473","Mike Stud","Marcus Stroman","1","undirected"
"1474","Smoke Dza","Dom Kennedy","1","undirected"
"1475","dvsn","Drake","1","undirected"
"1476","Nick Brewer","Lunar C","1","undirected"
"1477","No Fatigue","Savage","2","undirected"
"1478","The Game","Problem","5","undirected"
"1479","French Montana","Jeezy","2","undirected"
"1480","Bankroll Fresh","Jeezy","1","undirected"
"1481","Betty Wright","Big Sean","1","undirected"
"1482","Sway","KSI","1","undirected"
"1483","Farruko","Pusho","1","undirected"
"1484","Lenny Cooper","Sarah Ross","1","undirected"
"1485","Smitty","Elzhi","1","undirected"
"1486","Lin-Manuel Miranda","Phillipa Soo","8","undirected"
"1487","Kodak Black","Jeezy","1","undirected"
"1488","Demrick","Berner","1","undirected"
"1489","Demrick","B-Real","1","undirected"
"1490","CeeLo Green","Mac Miller","2","undirected"
"1491","La Coka Nostra","Nems","1","undirected"
"1492","Mozzy","Sleepy D","2","undirected"
"1493","Dream Junkies","Ruslan","11","undirected"
"1494","Lizzo","Astronautalis","1","undirected"
"1495","JL","Big Scoob","1","undirected"
"1496","The Roots","Joell Ortiz","1","undirected"
"1497","Joe Moses","YG","2","undirected"
"1498","Travis Scott","Quavo","2","undirected"
"1499","Tory Lanez","Joe Budden","1","undirected"
"1500","Lex Aura","The Jacka","1","undirected"
"1501","Scrufizzer","Sway","1","undirected"
"1502","The Lacs","Moonshine Bandits","1","undirected"
"1503","E-40","Jay Rock","1","undirected"
"1504","Tiara","Royce Da 5'9""","1","undirected"
"1505","Blackbear","Kyle","1","undirected"
"1506","Yams","A$AP Rocky","1","undirected"
"1507","Iamsu!","Philthy Rich","1","undirected"
"1508","Lil Wayne","A$AP Rocky","1","undirected"
"1509","Chris Batson","Social Club Misfits","1","undirected"
"1510","Anthony Ramos","Leslie Odom Jr.","7","undirected"
"1511","Lil Uzi Vert","A$Ap Ant","1","undirected"
"1512","Apollo Brown","Stalley","1","undirected"
"1513","Anthony Ramos","Okieriete Onaodowan","5","undirected"
"1514","Sia","Miguel","1","undirected"
"1515","Arcangel","Maluma","1","undirected"
"1516","Chinx","Movado","1","undirected"
"1517","Flo Rida","Noodles","1","undirected"
"1518","ScHoolboy Q","Mistah F.A.B.","1","undirected"
"1519","TaeDaKiid","Sleepy D","1","undirected"
"1520","theMIND","Pete Rock","1","undirected"
"1521","PeeWee Roscoe","Young Thug","1","undirected"
"1522","Skeme","DJ Drama","3","undirected"
"1523","Hollyn","Derek Minor","1","undirected"
"1524","Sick Jacken","La Coka Nostra","2","undirected"
"1525","P!nk","The Lonely Island","1","undirected"
"1526","E-40","YV","1","undirected"
"1527","RJ","Philthy Rich","1","undirected"
"1528","Juicy J","Tm88","16","undirected"
"1529","King Los","Lil' Kim","1","undirected"
"1530","Swae Lee","Chief Keef","1","undirected"
"1531","Shakewell","Pouya","1","undirected"
"1532","Chance The Rapper","Macklemore & Ryan Lewis","1","undirected"
"1533","Genio","Nengo Flow","1","undirected"
"1534","Little Dragon","De La Soul","1","undirected"
"1535","Dylan Cage","Mista Cain","1","undirected"
"1536","Tyler, The Creator","A$AP Mob","1","undirected"
"1537","The Game","Asia Bryant","1","undirected"
"1538","Scheme","RJ","1","undirected"
"1539","The Game","Lorine Chia","1","undirected"
"1540","Ras Kass","Apathy","1","undirected"
"1541","Nicki Minaj","August Alsina","1","undirected"
"1542","Genio","Farruko","1","undirected"
"1543","Fetty Wap","Monty","9","undirected"
"1544","Crystal Johnson","Mobb Deep","1","undirected"
"1545","August Alsina","Curren$y","1","undirected"
"1546","Sasha Hutchings","Ariana DeBose","1","undirected"
"1547","Vince Staples","Donald Glover","1","undirected"
"1548","UGK","Juicy J","1","undirected"
"1549","Ty Dolla $ign","Future","3","undirected"
"1550","X-Perience","Macklemore & Ryan Lewis","2","undirected"
"1551","Bizzle","Lavoisier","1","undirected"
"1552","DJ Mustard","Quavo","1","undirected"
"1553","Brotha Lynch Hung","Prozak","1","undirected"
"1554","Carla Morrison","Macklemore & Ryan Lewis","1","undirected"
"1555","B-Legit","Tre Solid","1","undirected"
"1556","Meek Mill","Jhene Aiko","1","undirected"
"1557","Kevin Gates","Jamie Foxx","1","undirected"
"1558","Dylan Cage","Doe B","1","undirected"
"1559","Riff Raff","Gucci Mane","1","undirected"
"1560","Joe Fox","Future","1","undirected"
"1561","Big Smo","Casey Beathard","1","undirected"
"1562","Rafael Casal","Daveed Diggs","1","undirected"
"1563","Flo Rida","Fitz","1","undirected"
"1564","The Game","Payso","2","undirected"
"1565","GENER8ION","M.I.A.","1","undirected"
"1566","Audio Push","T.I.","1","undirected"
"1567","Joe Fox","A$AP Rocky","5","undirected"
"1568","Young Drummer Boy","King Lil G","3","undirected"
"1569","Rich The Kid","RJ","1","undirected"
"1570","Westside Gunn","Conway","1","undirected"
"1571","The Game","Busta Rhymes","2","undirected"
"1572","C-Murder","Mac Milli","1","undirected"
"1573","Trae Tha Truth","WatchTheDuck","1","undirected"
"1574","Rick Ross","John Legend","2","undirected"
"1575","E-40","Droop-E","1","undirected"
"1576","Chinaka Hodge","Daveed Diggs","1","undirected"
"1577","Method Man","Banks & Steelz","1","undirected"
"1578","Flo Rida","Verdine White","1","undirected"
"1579","The Game","Jon Conner","2","undirected"
"1580","Leslie Odom Jr.","Jon Rua","1","undirected"
"1581","Problem","Candace Boyd","1","undirected"
"1582","Boosie Badazz","Yella","1","undirected"
"1583","O'Neill","Cosculluela","2","undirected"
"1584","Mozzy","TaeDaKiid","1","undirected"
"1585","Beanie Sigel","Dave East","1","undirected"
"1586","Mozzy","Bruce Banna","1","undirected"
"1587","Lecrae","JGivens","1","undirected"
"1588","K-Ci & JoJo","TWENTY88","1","undirected"
"1589","Kool Keith","Banks & Steelz","1","undirected"
"1590","Burnt Out","Syke 800","1","undirected"
"1591","Chinaka Hodge","Wax","1","undirected"
"1592","Meyhem Lauren","CZARFACE","1","undirected"
"1593","Rara","Lady G","1","undirected"
"1594","Ralo","Young Thug","1","undirected"
"1595","Tyga","YG","1","undirected"
"1596","Juicy J","Pimp C","3","undirected"
"1597","Shasha","Q-Tip","1","undirected"
"1598","Bun B","King Lil G","1","undirected"
"1599","E-40","Nicamari","1","undirected"
"1600","Playboi Carti","Offset","1","undirected"
"1601","Joe Moses","E-40","1","undirected"
"1602","Kehlani","Pusha T","1","undirected"
"1603","Wale","Pete Rock","1","undirected"
"1604","Young Dolph","21 Savage","1","undirected"
"1605","Swizz Beatz","Snoop Dogg","3","undirected"
"1606","Cam'Ron","Dave East","1","undirected"
"1607","E-40","Tre Solid","1","undirected"
"1608","White Dave","K.E.L.L.S.","1","undirected"
"1609","Juvenile","Danny from Sobrante","1","undirected"
"1610","Matisyahu","Kosha Dillz","1","undirected"
"1611","Mozzy","June","5","undirected"
"1612","Mistah F.A.B.","Kobe Honeycutt","1","undirected"
"1613","Hoodie Allen","Ricky Smith","1","undirected"
"1614","DJ Khaled","Future","4","undirected"
"1615","Trae Tha Truth","Roscoe Dash","1","undirected"
"1616","Dave East","DJ Drama","1","undirected"
"1617","Solo Lucci","Young Thug","1","undirected"
"1618","Mickey Shiloh","Kosha Dillz","1","undirected"
"1619","B. Rossi","T.I.","1","undirected"
"1620","Racket County","Hard Target","14","undirected"
"1621","Fetty Wap","Kid Ink","1","undirected"
"1622","Nicki Minaj","Future","1","undirected"
"1623","Future","21 Savage","1","undirected"
"1624","Jadakiss","DJ Khaled","1","undirected"
"1625","Bernz","Ag Lyonz","1","undirected"
"1626","Ghost Loft","Wiz Khalifa","1","undirected"
"1627","Metro Boomin","21 Savage","9","undirected"
"1628","Grieves","Dumbfoundead","1","undirected"
"1629","Nas","Mobb Deep","1","undirected"
"1630","Devin The Dude","B-Real","1","undirected"
"1631","ScHoolboy Q","Jay Rock","2","undirected"
"1632","Katz","Hopsin","1","undirected"
"1633","Deacon Blues","Isaiah Rashad","1","undirected"
"1634","Mitch E-Slick","AD","2","undirected"
"1635","YFN Lucci","Meek Mill","1","undirected"
"1636","Mista Cain","Starlito","1","undirected"
"1637","Lil Wayne","Travis Scott","1","undirected"
"1638","Boosie Badazz","Pimp C","1","undirected"
"1639","Cutthroat Season","LA Gun Smoke","2","undirected"
"1640","Cutthroat Season","King Lil G","2","undirected"
"1641","B. Rossi","Killer Mike","1","undirected"
"1642","S Dot Braddy","Pouya","1","undirected"
"1643","Ty Dolla $ign","Nipsey Hussle","1","undirected"
"1644","French Montana","Chinx","1","undirected"
"1645","E-40","K CAMP","1","undirected"
"1646","Chris Brown","A$AP Ferg","1","undirected"
"1647","Sauce Twinz","Philthy Rich","1","undirected"
"1648","Datin","Sean C. Johnson","1","undirected"
"1649","Yung Gleesh","A$AP Mob","1","undirected"
"1650","Gucci Mane","Young Dolph","1","undirected"
"1651","Trev Case","T.I.","1","undirected"
"1652","Big Scoob","Mackenzie Nicole","1","undirected"
"1653","Rick Ross","Pusha T","1","undirected"
"1654","Young Scooter","Young Thug","1","undirected"
"1655","Duce","YG","1","undirected"
"1656","Tory Lanez","Chris Brown","1","undirected"
"1657","Ty Dolla $ign","Lil Durk","1","undirected"
"1658","Slim Thug","Nikki Lactson","1","undirected"
"1659","A$AP Rocky","Pusha T","1","undirected"
"1660","Kari Faux","Deacon Blues","1","undirected"
"1661","Karmin","Futuristic","1","undirected"
"1662","Kehlani","G-Eazy","1","undirected"
"1663","Project Pat","Tm88","1","undirected"
"1664","Bobo Swae","Rae Sremmurd","2","undirected"
