"","source","target","weight","type"
"129","Trae Tha Truth","Jay'ton","1","undirected"
"130","The Game","J3","1","undirected"
"131","Sick Jacken","Apathy","1","undirected"
"132","PeeWee Roscoe","Yak Gotti","1","undirected"
"133","Randy Nota Loca","De La Ghetto","1","undirected"
"134","Mozzy","Sauce Twinz","1","undirected"
"135","¡MAYDAY!","Krizz Kaliko","1","undirected"
"136","Nipsey Hussle","YG","1","undirected"
"137","SiR","Isaiah Rashad","1","undirected"
"138","Bas","Cozz","2","undirected"
"139","Lyquin","DJ Drama","1","undirected"
"140","Lil Dicky","T-Pain","1","undirected"
"141","Dreezy","Gucci Mane","1","undirected"
"142","Bubba Sparxxx","Demun Jones","1","undirected"
"143","Grandmaster Melle Mel","Kool Moe Dee","1","undirected"
"144","Meghan Trainor","Wiz Khalifa","1","undirected"
"145","Jadakiss","Swizz Beatz","1","undirected"
"146","Genio","DJ Luian","2","undirected"
"147","Yak Gotti","Young Thug","1","undirected"
"148","Salsalino","E-40","1","undirected"
"149","Don Trip","Ceo Lil Kenny","1","undirected"
"150","The Roots","Busta Rhymes","1","undirected"
"151","Bricc Baby","YG","1","undirected"
"152","Salsalino","Baby Treeze","1","undirected"
"153","Snow Tha Product","K'NAAN","1","undirected"
"154","dvsn","Pimp C","1","undirected"
"155","The Game","Asia","1","undirected"
"156","Elena","Common","1","undirected"
"157","NF","Fleurie","1","undirected"
"158","Pell","Skizzy Mars","2","undirected"
"159","Abk","Blaze Ya Dead Homie","1","undirected"
"160","Adrian Marcel","Dame D.O.L.L.A","1","undirected"
"161","Mick Jenkins","Noname","1","undirected"
"162","Tyga","Kid Ink","1","undirected"
"163","Meek Mill","Pusha T","1","undirected"
"164","Young Boss","Boogie Man","1","undirected"
"165","Kari Faux","Isaiah Rashad","1","undirected"
"166","DJ Khaled","Fabolous","1","undirected"
"167","Tempo","Farruko","1","undirected"
"168","Tish Hyman","Diddy","1","undirected"
"169","E MOZZY","June","1","undirected"
"170","Future","Meek Mill","1","undirected"
"171","Trae Tha Truth","Wiz Khalifa","1","undirected"
"172","Nick Brewer","Tiggs Da Author","1","undirected"
"173","Justine Skye","Miguel","1","undirected"
"174","Hitman Beatz","Philthy Rich","1","undirected"
"175","Txx Will","Bakarii","1","undirected"
"176","will.i.am","Fergie","2","undirected"
"177","Ricco Barrino","E-40","1","undirected"
"178","Onyx","A$AP Nast","1","undirected"
"179","Fat Joe","Fabolous","1","undirected"
"180","Brotha Lynch Hung","Tech N9ne Collabos","1","undirected"
"181","Datin","Franky Bells","1","undirected"
"182","Skeme","Lil Uzi Vert","1","undirected"
"183","Vinnie Paz","Ghostface Killah","1","undirected"
"184","Fergie","Snoop Dogg","2","undirected"
"185","The Lacs","Redneck Souljers","1","undirected"
"186","Anna Wise","Bilal","2","undirected"
"187","Mistah F.A.B.","G-Eazy","1","undirected"
"188","Ramirez","Pouya","1","undirected"
"189","Chris Redd","The Lonely Island","3","undirected"
"190","Wiz Khalifa","Snoop Dogg","4","undirected"
"191","The Lacs","Demun Jones","2","undirected"
"192","Wiz Khalifa","Tm88","16","undirected"
"193","Demun Jones","Moccasin Creek","1","undirected"
"194","A$AP Mob","A$Ap Ant","3","undirected"
"195","Kirko Bangz","Lil Lonnie","1","undirected"
"196","Nicky Jam","J Balvin","1","undirected"
"197","Stacy Barthe","Joe Budden","1","undirected"
"198","Phillipa Soo","Daveed Diggs","1","undirected"
"199","theMIND","Big K.R.I.T.","1","undirected"
